surname,first_name,wp,position added,ortszusatz,title,party,source
Albrecht,Ernst,"11, 10, 9, 8",Ministerpräsident,,Dr.,CDU,Manual
Franke,Klaus,10,Senator,Berlin,,CDU,Manual
Vogel,Bernhard,10,Ministerpräsident,Rheinland-Pfalz,,CDU,Manual
Rau,Johannes,"13, 12, 11, 10, 9, 8",Ministerpräsident,Nordrhein-Westfalen,Dr. h. c.,SPD,Manual
Becker,Kurt,9,"Staatssekretär, Chef Presseund Informationsamtes Bundesregierung",,,,Manual
Becker,Kurt,9,Staatssekretär,,,,Manual
Becker,Kurt,9,Staatssekretär im Bundeskanzleramt,,,,Manual
Schmid,Albert,"9, 8","Staatssekretär im Bundesministerium für Raumordnung, Bauwesen und Städtebau",,Dr.,SPD,Manual
Schmid,Albert,"9, 8",Staatssekretär,,,SPD,Manual
Lange,Volker,9,Senator,Hamburg,,SPD,Manual
Franke,Walter,8,Senator,Bremen,,SPD,Manual
Bender,Traugott,7,Minister,Baden-Württemberg,Dr.,CDU,Manual
Leussink,Hans,6,Bundesminister für Bildung und Wissenschaft,,,parteilos,Manual
Hartmann,Alfred,"3, 2, 1",Staatssekretär im Bundesministerium Finanzen,,,CSU,Manual
Hartmann,Alfred,"3, 2, 1",Staatssekretär Bundesministeriums Finanzen,,,CSU,Manual
Hartmann,Alfred,"3, 2, 1",Staatssekretär im Bundesfinanzministerium,,,CSU,Manual
Lukaschek,Hans,1,Bundesminister für Angelegenheiten Vertriebenen,,,CDU,Manual
Lukaschek,Hans,1,Bundesminister für Vertriebene,,,CDU,Manual
Jung,Karl,13,Staatssekretär im Bundesministerium für Arbeit und Sozialordnung,,,,Manual


